item;qtd_cx
80101010101;0
PG23LA111SD00;0
PG22MA115SD00;0
PG22SA115SD00;0
PG22PA115SD00;0
80101010102;35
PG23LA112SD00;35
80101010102;0
PG23LA113SD00;0
80101010104;1
PG23LA114SD00;1
80101010201;0
PG23LA213SK00;0
PG23FA213SD00;0
80101062904;0
PG23LA214SK00;0
PG23FA214SD00;0
80101063001;0
PG23LA211IN00;0
PG23FA211SD00;0
80101063002;0
PG23LA212IN00;0
PG23FA212SD00;0
80101063003;0
PG23LA213IN00;0
PG23FA213SD00;0
80101063004;0
PG23LA214IN00;0
PG23FA214SD00;0
80101069001;0
9788564474826;15
9786581061012;30
80101069101;10
PG22CA155SDM1;26
80101069201;0
PG22CA155SDP1;26
80101069301;0
9786557980019;150
9786557980231;100
9786557980958;100
9786557980903;100
80101069601;0
PG22CA215SDM2;27
80101069701;0
PG22CA215SDP2;24
80101069801;0
PG23LA215SDE0;26
80101069901;0
PG23LA215SDI0;34
PG23FA224SD00;0
80101070501;0
PG23LA221ZA00;0
PG23FA221SD00;0
80101070502;0
PG23LA222ZA00;0
PG23FA222SD00;0
80101070503;0
PG23LA223ZA00;0
PG23FA223SD00;0
80101070504;0
PG23LA224ZA00;0
PG23FA224SD00;0
80101070601;0
PG23LA221ZP00;0
PG23FA221SD00;0
80101070602;0
PG23LA222ZP00;0
PG23FA222SD00;0
80101070603;0
PG23LA223ZP00;0
PG23FA223SD00;0
80101070604;0
PG23LA224ZP00;0
PG23FA224SD00;0
80101070701;0
PG23LA221ST00;0
PG23FA221SD00;0
80101070702;0
PG23LA222ST00;0
PG23FA222SD00;0
80101070703;0
PG23LA223ST00;0
PG23FA223SD00;0
80101070704;0
PG23LA224ST00;0
PG23FA224SD00;0
80101070801;0
PG23LA221ZI00;0
PG23FA221SD00;0
80101070802;0
PG23LA222ZI00;0
PG23FA222SD00;0
80101070803;0
PG23LA223ZI00;0
PG23FA223SD00;0
80101070804;0
PG23LA224ZI00;0
PG23FA224SD00;0
80101070901;0
PG23LA221MA00;0
PG23FA221SD00;0
80101070902;0
PG23LA222MA00;0
PG23FA222SD00;0
80101070903;0
PG23LA223MA00;0
PG23FA223SD00;0
80101070904;0
PG23LA224MA00;0
PG23FA224SD00;0
80101071001;0
PG23LA221ZT00;0
PG23FA221SD00;0
80101071002;0
PG23LA222ZT00;0
PG23FA222SD00;0
80101071003;0
PG23LA223ZT00;0
PG23FA223SD00;0
80101071004;0
PG23LA224ZT00;0
PG23FA224SD00;0
80101071101;0
PG23LA221ZS00;0
PG23FA221SD00;0
80101071102;0
PG23LA222ZS00;0
PG23FA222SD00;0
80101071103;0
PG23LA223ZS00;0
PG23FA223SD00;0
80101071104;0
